Institute Code,College,Course Code,Course,Status,Category,Cutoff Rank,Score
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,,EWS,42146,82.2515860
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,,EWS,47720,79.7807688
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,,EWS,34759,85.4752553
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,,EWS,26636,89.1600241
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,,EWS,34812,85.4752553
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,,EWS,121868,29.2444305
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,,EWS,32994,86.3550668
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,,EWS,87211,58.0840122
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,,EWS,31414,87.0556299
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,,EWS,92685,54.0043616
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,,EWS,24140,90.1850615
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,,EWS,37774,84.2884307
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,EWS,16356,93.4958740
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,EWS,27969,88.5960295
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,EWS,89313,56.6563970
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,EWS,30699,87.3774785
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,EWS,17854,92.8593873
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,EWS,21528,91.2629338
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,EWS,30062,87.6984872
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,EWS,17589,93.0014674
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,EWS,14555,94.2498036
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,EWS,25655,89.5231349
